Total output lines: 434

MLS #,Location,Sold/List Price,Acres,Days on Market,Zoning Comments,Remarks / Comments,acres_num,dom_num,list_price_num,sold_price_num,price_num,ppa,acre_band,sold_to_list
A147145A,Baileys Harbor,"$179,000",0.48,20,Single Family Res 20000 (SF20),"• Enjoy all the conveniences and amenities of downtown Baileys Harbor with this great in-town offering.
• Property is nicely wooded and features apple and pear trees and an 8x10 storage shed.",0.48,20.0,179000.0,,179000.0,372916.6666666667,<1 ac,
A147075P,Baileys Harbor,"$299,000",11.55,28,Estate (ES),"• Tucked away in Baileys Harbor off County Rd Q, this 11.55 acre beautifully wooded parcel on Birch Road offers the perfect blend of privacy and accessibility.
• A trail leads you through the property, allowing you to easily explore the natural landscape and envision your future home or retreat.
• This lot has already had a successful perk test and will support a mound system, making it one step closer to building.
• Towering trees and a peaceful setting create an ideal backdrop for those looking to enjoy the quiet beauty of Door County while still being just minutes from Lake Michigan shoreline, beaches, parks, and local amenities.",11.55,28.0,299000.0,,299000.0,25887.445887445887,10-20 ac,
A147076P,Baileys Harbor,"$215,000",7.68,28,Estate (ES),"• Set on 7.675 acres, this wooded Birch Road parcel in Baileys Harbor offers a quiet, tucked away setting ideal for those seeking space and seclusion.
• The property features a natural landscape filled with mature trees, creating a private environment perfect for a future home or retreat.
• A perk test has already been completed and approved for a mound system, providing added confidence as you plan your build.
• Located just a short drive from Lake Michigan, local beaches, parks, and the charm of Baileys Harbor, this property offers the best of both convenience and privacy.",7.68,28.0,215000.0,,215000.0,27994.791666666668,5-10 ac,
A147077A,Baileys Harbor,"$259,000",9.95,28,Estate (ES),"• Get away from it all on Sunset Road in Baileys Harbor.
• This 9.952 acre beautifully wooded parcel offers a serene and private setting to build your Door County retreat.
• Surrounded by mature trees and natural beauty, the property provides the perfect backdrop for those seeking peace and privacy.
• The lot has been perk tested and is suitable for a mound system, making it ready for your future building plans.",9.95,28.0,259000.0,,259000.0,26030.150753768845,5-10 ac,
A147078A,Baileys Harbor,"$165,000",5.88,28,Estate (ES),"• Enjoy the beauty and privacy of Door County on this 5.88 acre wooded parcel located on Sunset Road in Baileys Harbor.
• Offering a more manageable size while still providing a peaceful setting, this property is ideal for those looking to build without the upkeep of a larger tract of land.
• The lot has been perk tested and is suitable for a mound system, making it ready for your future home or getaway.
• Surrounded by mature trees and natural landscape, you will enjoy a sense of seclusion while remaining just minutes from Lake Michigan, beaches, parks, and the charm of Baileys Harbor and Sister Bay.",5.88,28.0,165000.0,,165000.0,28061.224489795917,5-10 ac,
A147043A,Baileys Harbor,"$195,000",5,37,Estate (ES),"• Beautifully wooded 5-acre home site just north of Baileys Harbor on County Hwy Q.
• Enjoy the perfect blend of privacy and convenience less than a mile from Moonlight Bay Bedrock Beach State Natural Area and just a short drive or scenic bike ride to the iconic Cana Island Lighthouse.
• An exceptional opportunity to create your Door County retreat in a peaceful natural setting close to shoreline beauty and outdoor recreation.
• A lovely stand of evergreens lines the road creating natural privacy, while a beautiful mix of evergreens and mature hardwoods extends throughout the property, offering a peaceful and picturesque setting.",5.0,37.0,195000.0,,195000.0,39000.0,5-10 ac,
A147006A,Baileys Harbor,"$129,000",3.72,62,Heartland 3.5 (HL3.5) Zng 2: Wetland (W),"• Secluded and quiet, this wooded 3.72 acre lot is centrally located in Northern Door on Standing Stone Ln, Baileys Harbor.
• Property is served by underground electric service.
• Wetland Delineation has been completed ensuring plenty of area to build your dream home.
• Per the Door County Sanitarian, this parcel will qualify for a conventional type septic system.",3.72,62.0,129000.0,,129000.0,34677.419354838705,2-5 ac,
A145982A,Baileys Harbor,"$155,000",1.78,70,Small Estate (SE),"• Your Private Retreat Awaits!
• Escape to nature without leaving civilization.
• This peaceful wooded lot offers the perfect balance of seclusion and accessibility, nestled just minutes from town amenities.
• Perfect for building your dream home in a natural setting, outdoor enthusiasts and nature lovers, and those seeking privacy.",1.78,70.0,155000.0,,155000.0,87078.65168539326,1-2 ac,
A145983A,Baileys Harbor,"$165,000",1.71,70,Small Estate (SE),"• Your Private Retreat Awaits!
• Escape to nature without leaving civilization.
• This peaceful corner wooded lot offers the perfect balance of seclusion and accessibility, nestled just minutes from town amenities.
• Perfect for building your dream home in a natural setting, outdoor enthusiasts and nature lovers, and those seeking privacy.",1.71,70.0,165000.0,,165000.0,96491.22807017544,1-2 ac,
A145924A,Baileys Harbor,"$375,000",10,99,Heartland 10 (HL10),"• Set just south of Sister Bay, this 10-acre offering captures the essence of Door County living with a harmonious blend of open meadow and wooded acreage.
• The property provides both privacy and versatility, all while being just minutes from Sister Bay's renowned dining, shopping, and everyday conveniences.
• An exceptional opportunity to create your ideal Door County escape.
• The taxes and parcel number are based on the original parcel that will be divided prior to closing.",10.0,99.0,375000.0,,375000.0,37500.0,10-20 ac,
