Total output lines: 613

MLS #,Location,List Price,Sold Price,Acres,Days on Market,Parcel #,Zoning Comments,Remarks / Comments,acres_num,dom_num,list_price_num,sold_price_num,price_num,ppa,acre_band,sold_to_list
A144060C,Baileys Harbor,"$125,000","$125,000",1.53,28,0020311302831B7,Single Family Res 20000 (SF20),"• Beautifully wooded home site offering privacy and natural surroundings.
• Perfect for your primary or vacation home.
• Short walk to Moonlight Bay Bedrock Beach State Natural Area, Bues Point boat launch and, of course, Cana Island.",1.53,28.0,125000.0,125000.0,125000.0,81699.34640522876,1-2 ac,1.0
A144540C,Baileys Harbor,"$550,000","$550,000",39.67,35,0140114302714,CS5 (Countryside-5) Zng 2: Wetland (W),"• Imagine your ideal retreat hidden among towering trees and the gentle murmur of Peil Creek nearby.
• This nearly 40 acres of pure Door County land offers seclusion, natural beauty, and a deep connection to the surrounding environment.
• There's an existing off-grid cabin to enjoy today, and the CS5 zoning gives you flexibility to design what your tomorrow looks like: a secluded main home, a cozy cabin, or a custom compound.
• A portion of the property includes wetlands and 33 acre are enrolled in the Managed Forest program.
• With subdivision potential, abundant wildlife, and pristine natural features, this is a rare chance to own one of the last parcels of this size in this area.",39.67,35.0,550000.0,550000.0,550000.0,13864.381144441642,20-40 ac,1.0
A144062C,Baileys Harbor,"$125,000","$125,000",2.76,56,0020311302831B4,Estate (ES),"• Large wooded homesite south and east of Baileys Harbor.
• Easy walk to the Cana Island Lighthouse and Moonlight Bay Bedrock Beach State Natural Area.",2.76,56.0,125000.0,125000.0,125000.0,45289.85507246377,2-5 ac,1.0
A144092C,Baileys Harbor,"$114,900","$114,900",3.20,61,0020302302822E,Estate (ES) WtrAtRd: No SwrAtRd: No,"• Beautifully wooded lot North of Bailey's Harbor on Q.
• Cedar, birch, pine and some hardwoods with some outcroppings of Door County stone.
• This property is mostly adjacent to DNR owned neighboring properties so may likely remain undeveloped in the future.
• Beautiful parcel in a quiet part of Door County.",3.2,61.0,114900.0,114900.0,114900.0,35906.25,2-5 ac,1.0
A143728C,Baileys Harbor,"$95,000","$95,000",1.84,65,0020135302714D,Residential,"• Check out your future home site on the quiet side that's close to everything!
• Just a few steps away from Kangaroo Lake and a short bike ride or drive to downtown Baileys Harbor.
• No known neighborhood restrictions/covenants gives you the freedom to build the home of your dreams!
• Fiber internet, electricity, and telephone at the road.
• MLS 143730 is also for sale and both lots together (3.67 acres) are at a discounted price MLS:143729",1.84,65.0,95000.0,95000.0,95000.0,51630.434782608696,1-2 ac,1.0
A143729C,Baileys Harbor,"$95,000","$95,000",1.84,65,0020135302714D1,Residential,"• Check out your future home site on the quiet side that's close to everything!
• Just a few steps away from Kangaroo Lake and a short bike ride or drive to downtown Baileys Harbor.
• No known neighborhood restrictions/covenants gives you the freedom to build the home of your dreams!
• Fiber internet, electricity, and telephone at the road.
• MLS 143728 is also for sale and both lots together (3.67 acres) are at a discounted price MLS: 143730",1.84,65.0,95000.0,95000.0,95000.0,51630.434782608696,1-2 ac,1.0
A143958C,Baileys Harbor,"$75,000","$75,000",1.51,66,0020136302732L9,Residential,"• Discover your future sanctuary tucked away in a serene location that's still connected to the essence of community!
• Just moments from the tranquil shores of Kangaroo Lake, and only a short distance to downtown Baileys Harbor, this site offers the perfect balance of peace and convenience.
• Design your dream home without any known neighborhood restrictions or covenants and essential utilities are readily available make construction a breeze.
• Don't miss the opportunity to create your ultimate Door County retreat.
• Additionally, combine with adjoining parcel being offered for a total of 2.61 acres.",1.51,66.0,75000.0,75000.0,75000.0,49668.87417218543,1-2 ac,1.0
A143959C,Baileys Harbor,"$75,000","$75,000",1.30,68,0020136302732L7,Residential,"• Discover your future sanctuary tucked away in a serene location that's still connected to the essence of community!
• Just moments from the tranquil shores of Kangaroo Lake, and only a short distance to downtown Baileys Harbor, this site offers the perfect balance of peace and convenience.
• Design your dream home without any known neighborhood restrictions or covenants and essential utilities are readily available make construction a breeze.
• Don't miss the opportunity to create your ultimate Door County retreat.
• Additionally, combine with two adjoining parcels being offered for a total of 3.91 acres.",1.3,68.0,75000.0,75000.0,75000.0,57692.30769230769,1-2 ac,1.0
A143957C,Baileys Harbor,"$75,000","$75,000",1.10,75,0020136302732L8,Residential,"• Discover your future sanctuary tucked away in a serene location that's still connected to the essence of community!
• Just moments from the tranquil shores of Kangaroo Lake, and only a short distance to downtown Baileys Harbor, this site offers the perfect balance of peace and convenience.
• Design your dream home without any known neighborhood restrictions or covenants and essential utilities are readily available make construction a breeze.
• Don't miss the opportunity to create your ultimate Door County retreat.
• Additionally, combine with two adjoining parcels being offered for a total of 2.61 acres.",1.1,75.0,75000.0,75000.0,75000.0,68181.81818181818,1-2 ac,1.0
A144734C,Baileys Harbor,"$545,000","$545,000",35,107,0020303302812B,Estate (ES) Addllnfo: parcel abuts Birch Rd & Sunset Dr Survey: Yes,"• A beautiful 35 acre parcel which is currently in the DNR's Managed Forest Lands Program.
• Approximately 15,000 coniferous trees have been planted as part of the program.
• A great investment as a buy and hold with minimal taxes or a great parcel on which to build your Door County dream home.
• These larger parcels are hard to come by so act now!
• See listing agent for additional information on MFL.",35.0,107.0,545000.0,545000.0,545000.0,15571.42857142857,20-40 ac,1.0
A143649C,Baileys Harbor,"$1,500,000","$1,500,000",37,254,0020329302811Z2,Single Family Res 30000 (SF30),"• Two parcels are offered for sale.
• 0020329302811Z1 and 1Z2 include a combined total of approximately 37 acres divided by Hwy 57 and provide a unique development opportunity just south of the Baileys Harbor community.
• The heavily wooded parcels are zoned SF30.
• The convenient location is perfectly suited to moderate density residential development of parcel 1Z2 with significant preservation restrictions.
• Alternatively, large lot residential development could preserve a substantial portion of the wooded area while creating a very private neighborhood.",37.0,254.0,1500000.0,1500000.0,1500000.0,40540.54054054054,20-40 ac,1.0
,,,,,,,,,,,,,,,unknown,
A144723C,County,"$125,000","$125,000",0.90,33,0140234312743C,R-1,"• Beautiful, wooded lot and great location!
• Just minutes to festivals, restaurants and beautiful Door County area State Parks.
• Home on property is uninhabitable along with garage and garage addition.
• Structures and septic have not been inspected along with possible well.",0.9,33.0,125000.0,125000.0,125000.0,138888.88888888888,<1 ac,1.0
,,,,,,,,,,,,,,,unknown,
A144419C,Egg Harbor,"$80,000","$80,000",0.88,2,118210317,Rural Residential (RR),"• Beautiful .8 acre lot with woods and meadow.
• Great homesite for year round or vacation home...no STRs allowed.
• Less than 1,000 feet from Orchards GC clubhouse with championship golf, pro shop, grill, and full bar.
• Roadway is private for now but will be turned over to Village in near future.",0.88,2.0,80000.0,80000.0,80000.0,90909.09090909091,<1 ac,1.0
A144735C,Egg Harbor,"$137,500","$137,500",1.86,16,1180125302641V,R-1 Addllnfo: Between 4620 and 4645,"• You have a limited time to claim this ""Unicorn"" lot, nestled in the heart of the Village of Egg Harbor.
• Seller will re-list this breathtaking nearly 2 Acre wooded lot in Spring at a higher price if not scooped up before the holidays!
• A gem like this rarely surfaces in the Village!
• NO restrictive covenants & surrounded by beautiful homes off a secluded cul-de-sac!
• A short walk/bike ride to Egg Harbor Beach & fabulous Downtown, famous for it's vibrant hospitality, entertainment & retail scene!",1.86,16.0,137500.0,137500.0,137500.0,73924.7311827957,1-2 ac,1.0
A144064C,Egg Harbor,"$49,900","$49,900",0,25,008120296,Not Zoned Addllinfo: Lot 296,"• This resort is a popular vacation community in the Village of Egg Harbor, on 80 acres of scenic Door County landscape.
• With 298 lots, residents enjoy shared amenities like walking trails, a clubhouse, indoor pool, hot tub, and beautifully maintained grounds.
• Seasonal-use resort, can be occupied up to 240 days",0.0,25.0,49900.0,49900.0,49900.0,,<1 ac,1.0
A143800C,Egg Harbor,"$49,900","$49,900",0.38,26,2811065002101,R-1,"• Here's a rare find on the east side of the Sturgeon Bay —a spacious .38-acre lot in a quiet neighborhood with established homes all around.
• It’s hard to come by a City lot like this!
• The layout of this gem would allow for your new home to have both east and west exposure.
• Plenty of room to build the home you've been dreaming about, all on a peaceful street.
• Don’t miss your chance to purchase a great lot in a great location.",0.38,26.0,49900.0,49900.0,49900.0,131315.7894736842,<1 ac,1.0
A143854C,Egg Harbor,"$139,000","$139,000",1.37,37,0140108302731C1,Heartland 3.5 (HL3.5),"• A beautiful deep lot with plenty of evergreens and hardwoods.
• A perfect home site for anyone who wants to be between Fish Creek and Egg Harbor.",1.37,37.0,139000.0,139000.0,139000.0,101459.85401459853,1-2 ac,1.0
A144481C,Egg Harbor,"$589,000","$589,000",2.55,41,008450030,Not Zoned Addllnfo: S of 7195,"• Don't miss this rare opportunity to own one of the last vacant waterview lots at Horseshoe Bay!
• Lot 30 is ideally situated near the end of a cul de sac - close enough to the clubhouse for a quick golf cart ride to dinner, yet far enough to offer peace and privacy.
• With a northwest orientation, you'll enjoy spectacular sunsets all year long.
• A staked building site is nestled among mature bluff-top trees, and the property extends below the bluff to ensure your view of the Bay.
• Design your dream home and start building!",2.55,41.0,589000.0,589000.0,589000.0,230980.39215686277,2-5 ac,1.0
A144155C,Egg Harbor,"$80,000","$80,000",0.89,44,118210318,Rural Residential (RR) Addilnfo: Corner of Heritage Lake & W Orchards Trail,"• Beautiful .8 acre lot with woods and meadow.
• Great homesite for year round or vacation home...no STRs allowed.
• Less than 1,000 feet from Orchards GC clubhouse with championship golf, pro shop, grill, and full bar.
• Roadway is private for now but will be turned over to Village in near future.
• Taxes are approximate.",0.89,44.0,80000.0,80000.0,80000.0,89887.6404494382,<1 ac,1.0
A144731C,Egg Harbor,"$99,000","$99,000",1.50,46,008440014,Not Zoned,"• Nestled in a peaceful setting is lot 14 at Birchstone at Horseshoe Bay Farms.
• This beautiful wooded lot offers the perfect blend of privacy and convenience.
• Towering mature trees create a serene backdrop for your dream home.
• Just minutes away from all Egg Harbor Has to offer.",1.5,46.0,99000.0,99000.0,99000.0,66000.0,1-2 ac,1.0
A144192C,Egg Harbor,"$105,000","$105,000",1.80,50,008580066,Not Zoned Survey: No,"• plan, to motor North.
• Won't you get Hip, to this kindly Tip?
• Get your Kicks on Lot 66!
• The ""Route,"" Stone Fence Drive, actually Ends at it's namesake...
• A Beautiful, Secluded 1.8 acres with a Fabulous fieldstone fence that opens to undulating fields and distant views of towering woods.",1.8,50.0,105000.0,105000.0,105000.0,58333.33333333333,1-2 ac,1.0
A144786C,Egg Harbor,"$212,000","$225,000",9.62,57,0140112302713A1,CS5 (Countryside-5),"• A beautiful blend of open meadow and woods sits 2, 4.8 acre lots totaling nearly 10 acres Located in the heart of Northern Door County...minutes from Downtown Fish Creek, Baileys Harbor and Egg Harbor, Although these parcels are 2 separate buildable, 4.8 acre lots, both lots must be sold together.
• The tax amount reflects both parcels.
• The 2nd parcel number is # 014-01-1230273A2.
• These are priced for a quick sale, so don't delay!
• View during daylight hours only.",9.62,57.0,212000.0,225000.0,225000.0,23388.773388773392,5-10 ac,1.0613207547169812
A144197C,Egg Harbor,"$149,900","$149,900",3.52,63,0140103302714A3,Heartland 3.5 (HL3.5) Addllinfo: Lot #2,"• You can get anywhere from here!
• Perfectly located in the middle of Northern Door County, close to Northern Sky Theater and the Greenwood Supper Club, and less than ten minutes to Fish Creek, Egg Harbor, and Baileys Harbor.
• This 3.5 acre, nicely wooded lot is ready for your dream home.
• Attractive hardwoods and nice surrounding homes.
• Electric along Tanglewood Lane (a private road).",3.52,63.0,149900.0,149900.0,149900.0,42585.22727272727,2-5 ac,1.0
